id,platform_order_id,user_id,shop_id,delivery_tracking_number,status,purchase_timestamp,shipment_timestamp,to_deliver_timestamp,delivery_timestamp,to_notify_timestamp,notification_timestamp
60,64,54,3,,LEGACY,2015-03-01 08:54:11,2015-03-02 10:27:38,2015-03-07 10:27:38,2015-03-07 10:27:38,2015-03-10 10:27:38,2015-03-10 10:27:38
61,65,55,3,,LEGACY,2015-03-01 13:15:26,2015-03-02 10:28:22,2015-03-07 10:28:22,2015-03-07 10:28:22,2015-03-10 10:28:22,2015-03-10 10:28:22
62,66,56,3,,STALLED,2015-03-01 15:20:52,,,,,
63,67,57,3,,STALLED,2015-03-02 10:31:25,,,,,
64,68,58,3,,LEGACY,2015-03-03 12:56:19,2015-03-03 16:08:43,2015-03-08 16:08:43,2015-03-08 16:08:43,2015-03-11 16:08:43,2015-03-11 16:08:43
65,69,59,3,,LEGACY,2015-03-05 10:37:59,2015-03-05 15:40:19,2015-03-10 15:40:19,2015-03-10 15:40:19,2015-03-13 15:40:19,2015-03-13 15:40:19
66,71,60,3,,LEGACY,2015-03-09 20:39:46,2015-03-13 17:12:23,2015-03-18 17:12:23,2015-03-18 17:12:23,2015-03-21 17:12:23,2015-03-21 17:12:23
67,72,61,3,,LEGACY,2015-03-10 14:37:07,2015-03-13 17:12:35,2015-03-18 17:12:35,2015-03-18 17:12:35,2015-03-21 17:12:35,2015-03-21 17:12:35
68,73,62,3,,LEGACY,2015-03-13 11:22:40,2015-03-13 17:12:10,2015-03-18 17:12:10,2015-03-18 17:12:10,2015-03-21 17:12:10,2015-03-21 17:12:10
69,74,63,3,,LEGACY,2015-03-20 10:12:21,2015-03-21 09:45:38,2015-03-26 09:45:38,2015-03-26 09:45:38,2015-03-29 09:45:38,2015-03-29 09:45:38
70,75,64,3,,LEGACY,2015-03-27 16:41:12,2015-03-28 10:27:35,2015-04-02 10:27:35,2015-04-02 10:27:35,2015-04-05 10:27:35,2015-04-05 10:27:35
71,76,65,3,,LEGACY,2015-04-01 14:07:17,2015-04-02 08:52:02,2015-04-07 08:52:02,2015-04-07 08:52:02,2015-04-10 08:52:02,2015-04-10 08:52:02
72,77,66,3,,LEGACY,2015-04-01 14:30:56,2015-04-04 11:52:46,2015-04-09 11:52:46,2015-04-09 11:52:46,2015-04-12 11:52:46,2015-04-12 11:52:46
73,78,67,3,,LEGACY,2015-04-02 13:29:18,2015-04-02 13:32:18,2015-04-07 13:32:18,2015-04-07 13:32:18,2015-04-10 13:32:18,2015-04-10 13:32:18
74,79,68,3,,LEGACY,2015-04-29 12:26:49,2015-05-02 16:22:44,2015-05-07 16:22:44,2015-05-07 16:22:44,2015-05-10 16:22:44,2015-05-10 16:22:44
75,80,69,3,,LEGACY,2015-04-29 12:30:55,2015-05-02 09:33:28,2015-05-07 09:33:28,2015-05-07 09:33:28,2015-05-10 09:33:28,2015-05-10 09:33:28
76,81,70,3,,LEGACY,2015-04-29 12:32:05,2015-05-02 16:21:20,2015-05-07 16:21:20,2015-05-07 16:21:20,2015-05-10 16:21:20,2015-05-10 16:21:20
77,82,71,3,,LEGACY,2015-04-29 12:36:51,2015-05-02 16:20:14,2015-05-07 16:20:14,2015-05-07 16:20:14,2015-05-10 16:20:14,2015-05-10 16:20:14
78,83,72,3,,LEGACY,2015-04-29 12:43:44,2015-05-02 16:19:00,2015-05-07 16:19:00,2015-05-07 16:19:00,2015-05-10 16:19:00,2015-05-10 16:19:00
79,84,73,3,,LEGACY,2015-04-29 12:47:58,2015-05-02 16:17:34,2015-05-07 16:17:34,2015-05-07 16:17:34,2015-05-10 16:17:34,2015-05-10 16:17:34
80,85,74,3,,LEGACY,2015-04-29 12:57:48,2015-05-02 16:15:49,2015-05-07 16:15:49,2015-05-07 16:15:49,2015-05-10 16:15:49,2015-05-10 16:15:49
81,86,75,3,,LEGACY,2015-04-29 13:05:45,2015-05-02 16:14:29,2015-05-07 16:14:29,2015-05-07 16:14:29,2015-05-10 16:14:29,2015-05-10 16:14:29
82,87,76,3,,LEGACY,2015-04-29 13:29:36,2015-05-02 16:13:09,2015-05-07 16:13:09,2015-05-07 16:13:09,2015-05-10 16:13:09,2015-05-10 16:13:09
83,88,77,3,,LEGACY,2015-04-29 13:29:49,2015-05-02 16:11:34,2015-05-07 16:11:34,2015-05-07 16:11:34,2015-05-10 16:11:34,2015-05-10 16:11:34
84,89,78,3,,STALLED,2015-04-29 13:31:03,,,,,
85,90,79,3,,FAILED,2015-04-29 13:35:04,,,,,
86,91,78,3,,LEGACY,2015-04-29 13:35:56,2015-05-02 16:10:14,2015-05-07 16:10:14,2015-05-07 16:10:14,2015-05-10 16:10:14,2015-05-10 16:10:14
87,92,80,3,,LEGACY,2015-04-29 13:48:13,2015-05-02 16:08:56,2015-05-07 16:08:56,2015-05-07 16:08:56,2015-05-10 16:08:56,2015-05-10 16:08:56
88,93,81,3,,LEGACY,2015-04-29 14:01:08,2015-05-02 16:07:38,2015-05-07 16:07:38,2015-05-07 16:07:38,2015-05-10 16:07:38,2015-05-10 16:07:38
89,94,82,3,,LEGACY,2015-04-29 14:40:55,2015-05-02 16:05:53,2015-05-07 16:05:53,2015-05-07 16:05:53,2015-05-10 16:05:53,2015-05-10 16:05:53
90,95,83,3,,LEGACY,2015-04-29 14:56:55,2015-05-02 16:04:41,2015-05-07 16:04:41,2015-05-07 16:04:41,2015-05-10 16:04:41,2015-05-10 16:04:41
91,96,84,3,,LEGACY,2015-04-29 14:58:50,2015-05-02 16:03:25,2015-05-07 16:03:25,2015-05-07 16:03:25,2015-05-10 16:03:25,2015-05-10 16:03:25
92,97,85,3,,LEGACY,2015-04-29 15:28:58,2015-05-02 16:02:18,2015-05-07 16:02:18,2015-05-07 16:02:18,2015-05-10 16:02:18,2015-05-10 16:02:18
93,98,86,3,,LEGACY,2015-04-29 16:03:12,2015-05-02 16:00:49,2015-05-07 16:00:49,2015-05-07 16:00:49,2015-05-10 16:00:49,2015-05-10 16:00:49
94,99,87,3,,LEGACY,2015-04-29 16:04:20,2015-05-02 15:58:37,2015-05-07 15:58:37,2015-05-07 15:58:37,2015-05-10 15:58:37,2015-05-10 15:58:37
95,100,88,3,,LEGACY,2015-04-29 16:08:51,2015-05-02 15:57:22,2015-05-07 15:57:22,2015-05-07 15:57:22,2015-05-10 15:57:22,2015-05-10 15:57:22
96,101,89,3,,LEGACY,2015-04-29 16:20:23,2015-05-02 15:56:03,2015-05-07 15:56:03,2015-05-07 15:56:03,2015-05-10 15:56:03,2015-05-10 15:56:03
97,102,90,3,,LEGACY,2015-04-29 17:33:02,2015-05-02 15:54:30,2015-05-07 15:54:30,2015-05-07 15:54:30,2015-05-10 15:54:30,2015-05-10 15:54:30
98,103,91,3,,LEGACY,2015-04-29 18:12:49,2015-05-02 15:53:05,2015-05-07 15:53:05,2015-05-07 15:53:05,2015-05-10 15:53:05,2015-05-10 15:53:05
99,104,92,3,,LEGACY,2015-04-29 20:02:08,2015-05-02 15:49:05,2015-05-07 15:49:05,2015-05-07 15:49:05,2015-05-10 15:49:05,2015-05-10 15:49:05
100,105,93,3,,LEGACY,2015-04-29 20:07:50,2015-05-02 15:48:31,2015-05-07 15:48:31,2015-05-07 15:48:31,2015-05-10 15:48:31,2015-05-10 15:48:31
101,107,94,3,,FAILED,2015-04-30 04:39:27,,,,,
102,108,94,3,,FAILED,2015-04-30 04:41:49,,,,,
103,109,95,3,,LEGACY,2015-04-30 09:46:06,2015-05-02 15:43:58,2015-05-07 15:43:58,2015-05-07 15:43:58,2015-05-10 15:43:58,2015-05-10 15:43:58
104,110,96,3,,LEGACY,2015-04-30 10:54:19,2015-05-02 15:42:17,2015-05-07 15:42:17,2015-05-07 15:42:17,2015-05-10 15:42:17,2015-05-10 15:42:17
105,111,97,3,,LEGACY,2015-04-30 12:52:08,2015-05-02 15:40:41,2015-05-07 15:40:41,2015-05-07 15:40:41,2015-05-10 15:40:41,2015-05-10 15:40:41
106,112,98,3,,LEGACY,2015-04-30 13:46:49,2015-05-02 15:40:13,2015-05-07 15:40:13,2015-05-07 15:40:13,2015-05-10 15:40:13,2015-05-10 15:40:13
107,113,99,3,,LEGACY,2015-04-30 14:11:38,2015-05-02 15:37:27,2015-05-07 15:37:27,2015-05-07 15:37:27,2015-05-10 15:37:27,2015-05-10 15:37:27
108,114,100,3,,LEGACY,2015-04-30 16:05:14,2015-05-02 15:36:02,2015-05-07 15:36:02,2015-05-07 15:36:02,2015-05-10 15:36:02,2015-05-10 15:36:02
109,115,101,3,,LEGACY,2015-04-30 18:56:35,2015-05-02 15:34:27,2015-05-07 15:34:27,2015-05-07 15:34:27,2015-05-10 15:34:27,2015-05-10 15:34:27
110,116,102,3,,LEGACY,2015-04-30 20:27:58,2015-05-02 15:32:56,2015-05-07 15:32:56,2015-05-07 15:32:56,2015-05-10 15:32:56,2015-05-10 15:32:56
111,117,103,3,,LEGACY,2015-04-30 21:07:15,2015-05-02 15:31:44,2015-05-07 15:31:44,2015-05-07 15:31:44,2015-05-10 15:31:44,2015-05-10 15:31:44
112,118,104,3,,LEGACY,2015-04-30 21:12:36,2015-05-02 15:30:26,2015-05-07 15:30:26,2015-05-07 15:30:26,2015-05-10 15:30:26,2015-05-10 15:30:26
113,119,105,3,,LEGACY,2015-05-01 08:43:41,2015-05-02 15:28:44,2015-05-07 15:28:44,2015-05-07 15:28:44,2015-05-10 15:28:44,2015-05-10 15:28:44
114,120,106,3,,LEGACY,2015-05-01 12:20:09,2015-05-02 15:27:11,2015-05-07 15:27:11,2015-05-07 15:27:11,2015-05-10 15:27:11,2015-05-10 15:27:11
115,121,107,3,,STALLED,2015-05-01 16:09:28,,,,,
116,122,108,3,,LEGACY,2015-05-01 17:21:10,2015-05-02 15:25:31,2015-05-07 15:25:31,2015-05-07 15:25:31,2015-05-10 15:25:31,2015-05-10 15:25:31
117,123,109,3,,LEGACY,2015-05-01 21:24:29,2015-05-02 15:24:05,2015-05-07 15:24:05,2015-05-07 15:24:05,2015-05-10 15:24:05,2015-05-10 15:24:05
118,124,110,3,,LEGACY,2015-05-02 11:06:11,2015-05-02 15:21:27,2015-05-07 15:21:27,2015-05-07 15:21:27,2015-05-10 15:21:27,2015-05-10 15:21:27
119,125,111,3,,LEGACY,2015-05-02 20:44:09,2015-05-07 10:27:51,2015-05-12 10:27:51,2015-05-12 10:27:51,2015-05-15 10:27:51,2015-05-15 10:27:51
120,126,112,3,,LEGACY,2015-05-04 19:59:27,2015-05-07 10:44:18,2015-05-12 10:44:18,2015-05-12 10:44:18,2015-05-15 10:44:18,2015-05-15 10:44:18
121,127,113,3,,LEGACY,2015-05-05 13:37:43,2015-05-07 11:27:48,2015-05-12 11:27:48,2015-05-12 11:27:48,2015-05-15 11:27:48,2015-05-15 11:27:48
122,128,114,3,,LEGACY,2015-05-07 18:23:54,2015-05-09 09:33:16,2015-05-14 09:33:16,2015-05-14 09:33:16,2015-05-17 09:33:16,2015-05-17 09:33:16
123,129,115,3,,LEGACY,2015-05-09 15:40:59,2015-05-09 15:46:05,2015-05-14 15:46:05,2015-05-14 15:46:05,2015-05-17 15:46:05,2015-05-17 15:46:05
124,130,104,3,,FAILED,2015-05-10 07:18:41,,,,,
125,131,104,3,,FAILED,2015-05-10 07:20:38,,,,,
126,132,104,3,,LEGACY,2015-05-10 07:23:06,2015-05-11 14:18:47,2015-05-16 14:18:47,2015-05-16 14:18:47,2015-05-19 14:18:47,2015-05-19 14:18:47
127,133,24,3,,FAILED,2015-05-11 08:28:38,,,,,
128,134,116,3,,STALLED,2015-05-11 08:45:09,,,,,
129,135,24,3,,STALLED,2015-05-11 08:47:42,,,,,
130,137,117,3,,STALLED,2015-05-11 08:56:45,,,,,
131,138,118,3,,LEGACY,2015-05-11 20:40:57,2015-05-14 09:10:45,2015-05-19 09:10:45,2015-05-19 09:10:45,2015-05-22 09:10:45,2015-05-22 09:10:45
132,139,119,3,,LEGACY,2015-05-13 11:41:41,2015-05-14 09:23:25,2015-05-19 09:23:25,2015-05-19 09:23:25,2015-05-22 09:23:25,2015-05-22 09:23:25
133,140,107,3,,LEGACY,2015-05-19 11:22:51,2015-05-19 12:11:50,2015-05-24 12:11:50,2015-05-24 12:11:50,2015-05-27 12:11:50,2015-05-27 12:11:50
134,141,120,3,,STALLED,2015-05-19 14:54:33,,,,,
135,142,121,3,,LEGACY,2015-05-19 15:04:35,2015-05-21 08:36:01,2015-05-26 08:36:01,2015-05-26 08:36:01,2015-05-29 08:36:01,2015-05-29 08:36:01
136,143,122,3,,LEGACY,2015-05-21 21:08:52,2015-05-22 09:36:09,2015-05-27 09:36:09,2015-05-27 09:36:09,2015-05-30 09:36:09,2015-05-30 09:36:09
137,144,123,3,,STALLED,2015-05-25 11:42:17,,,,,
138,145,123,3,,LEGACY,2015-05-25 11:47:37,2015-05-27 08:49:27,2015-06-01 08:49:27,2015-06-01 08:49:27,2015-06-04 08:49:27,2015-06-04 08:49:27
139,146,124,3,,LEGACY,2015-05-25 15:15:01,2015-05-27 10:14:38,2015-06-01 10:14:38,2015-06-01 10:14:38,2015-06-04 10:14:38,2015-06-04 10:14:38
140,147,125,3,,LEGACY,2015-05-25 18:56:21,2015-05-27 09:57:03,2015-06-01 09:57:03,2015-06-01 09:57:03,2015-06-04 09:57:03,2015-06-04 09:57:03
