id,name,in_espark,web_page,description,longer_description,phase_id,image_url,hook,problem,solution,market_size,revenue,traction,ask,main_contact,facebook,twitter
1,Opinew,TRUE,https://opinew.com/,The Instagram for product reviews,,3,https://opinew.com/static/img/opinew_diamond.png,We supply the review section for products you buy in an online shop.,Shops need high quality reviews to increase sales and reduce returns. ,We are the instagram for product reviews. By introducing photos we are increasing the quality and credibility of reviews because text and stars can’t show purchased things in real life situations. Also we give shops the opportunity to take immediate action and turn negative reviews into resolved issues.,,We are charging shops a monthly subscription fee in a tiered model starting from £100 per month.,We already have interest from a couple of companies within espark,"Our product is now ready and exclusively free for businesses at Espark so if you would like to make more money, contact us. Both me and my co-founder are developers and can quickly integrate our platform to your existing website. ",,https://www.facebook.com/opinewdotcom,@opinew
2,Beauty Kitchen,TRUE,http://www.beautykitchen.co.uk/,100% natural every day luxury beauty products,,4,http://www.beautykitchen.co.uk/skin/frontend/ultimo/default/images/bkassets/BK_webLogoB.png,,,,,,,,,,
3,Hubebub,TRUE,http://www.hubebub.com/,Nest for businesses - manage your energy in the cloud,,3,http://uploads.webflow.com/54fb08a768b623b714ac83b4/5521e4016ee85cb80c24b70e_Hubebub_Logo_Optimised.png,,,,,,,,,,
4,Yotpo,FALSE,https://www.yotpo.com/,"Yotpo is the smartest way to generate customer content, drive traffic and increase conversions. ",,,http://c93fea60bb98e121740fc38ff31162a8.s3.amazonaws.com/wp-content/uploads/2014/01/yotpo.png,,,,,,,,,,
